"datetime_id","date_id","month","day","hour","volume_of_ISSR"
1538,65,7,20,1,0.577380952380952
1539,65,7,20,2,0.589285714285714
1540,65,7,20,3,0.375
1541,65,7,20,4,0.392857142857143
1542,65,7,20,5,0.404761904761905
1543,65,7,20,6,0.410714285714286
1544,65,7,20,7,0.470238095238095
1545,65,7,20,8,0.494047619047619
1546,65,7,20,9,0.648809523809524
1547,65,7,20,10,0.571428571428571
1548,65,7,20,11,0.505952380952381
1549,65,7,20,12,0.511904761904762
1550,65,7,20,13,0.678571428571429
1551,65,7,20,14,0.678571428571429
1552,65,7,20,15,0.678571428571429
1553,65,7,20,16,0.755952380952381
1554,65,7,20,17,0.720238095238095
1555,65,7,20,18,0.791666666666667
1556,65,7,20,19,0.517857142857143
1557,65,7,20,20,0.357142857142857
1558,65,7,20,21,0.630952380952381
1559,65,7,20,22,0.517857142857143
1560,65,7,20,23,0.452380952380952
1561,66,7,21,0,0.416666666666667
1562,66,7,21,1,0.345238095238095
1563,66,7,21,2,0.375
1564,66,7,21,3,0.30952380952381
1565,66,7,21,4,0.416666666666667
1566,66,7,21,5,0.386904761904762
1567,66,7,21,6,0.297619047619048
1568,66,7,21,7,0.297619047619048
1569,66,7,21,8,0.297619047619048
1570,66,7,21,9,0.476190476190476
1571,66,7,21,10,0.55952380952381
1572,66,7,21,11,0.553571428571429
1573,66,7,21,12,0.654761904761905
1574,66,7,21,13,0.56547619047619
1575,66,7,21,14,0.523809523809524
1576,66,7,21,15,0.56547619047619
1577,66,7,21,16,0.523809523809524
1578,66,7,21,17,0.392857142857143
1579,66,7,21,18,0.327380952380952
1580,66,7,21,19,0.422619047619048
1581,66,7,21,20,0.244047619047619
1582,66,7,21,21,0.523809523809524
1583,66,7,21,22,0.404761904761905
1584,66,7,21,23,0.386904761904762
1585,67,7,22,0,0.148809523809524
1586,67,7,22,1,0.30952380952381
1587,67,7,22,2,0.303571428571429
1588,67,7,22,3,0.214285714285714
1589,67,7,22,4,0.172619047619048
1590,67,7,22,5,0.0892857142857143
1591,67,7,22,6,0.125
1592,67,7,22,7,0.214285714285714
1593,67,7,22,8,0.297619047619048
1594,67,7,22,9,0.285714285714286
1595,67,7,22,10,0.541666666666667
1596,67,7,22,11,0.714285714285714
1597,67,7,22,12,0.809523809523809
1598,67,7,22,13,0.952380952380952
1599,67,7,22,14,0.904761904761905
1600,67,7,22,15,0.821428571428571
1601,67,7,22,16,0.684523809523809
1602,67,7,22,17,0.428571428571429
1603,67,7,22,18,0.357142857142857
1604,67,7,22,19,0.208333333333333
1605,67,7,22,20,0.232142857142857
1606,67,7,22,21,0.738095238095238
1607,67,7,22,22,0.815476190476191
1608,67,7,22,23,0.55952380952381
1609,68,7,23,0,0.464285714285714
1610,68,7,23,1,0.488095238095238
1611,68,7,23,2,0.583333333333333
1612,68,7,23,3,0.380952380952381
1613,68,7,23,4,0.494047619047619
1614,68,7,23,5,0.660714285714286
1615,68,7,23,6,0.666666666666667
1616,68,7,23,7,0.660714285714286
1617,68,7,23,8,0.583333333333333
1618,68,7,23,9,0.297619047619048
1619,68,7,23,10,0.321428571428571
1620,68,7,23,11,0.386904761904762
1621,68,7,23,12,0.577380952380952
1622,68,7,23,13,0.994047619047619
1623,68,7,23,14,1.125
1624,68,7,23,15,1.0952380952381
1625,68,7,23,16,1.03571428571429
1626,68,7,23,17,0.845238095238095
1627,68,7,23,18,0.601190476190476
1628,68,7,23,19,0.517857142857143
1629,68,7,23,20,0.482142857142857
1630,68,7,23,21,0.660714285714286
1631,68,7,23,22,0.755952380952381
1632,68,7,23,23,0.583333333333333
1633,69,7,24,0,0.428571428571429
1634,69,7,24,1,0.327380952380952
1635,69,7,24,2,0.428571428571429
1636,69,7,24,3,0.363095238095238
1637,69,7,24,4,0.398809523809524
1638,69,7,24,5,0.476190476190476
1639,69,7,24,6,0.44047619047619
1640,69,7,24,7,0.654761904761905
1641,69,7,24,8,0.535714285714286
1642,69,7,24,9,0.714285714285714
1643,69,7,24,10,0.970238095238095
1644,69,7,24,11,1.10119047619048
1645,69,7,24,12,0.875
1646,69,7,24,13,0.642857142857143
1647,69,7,24,14,0.333333333333333
1648,69,7,24,15,0.261904761904762
1649,69,7,24,16,0.113095238095238
1650,69,7,24,17,0.19047619047619
1651,69,7,24,18,0.160714285714286
1652,69,7,24,19,0.220238095238095
1653,69,7,24,20,0.172619047619048
1654,69,7,24,21,0.0357142857142857
1655,69,7,24,22,0.0416666666666667
1656,69,7,24,23,0.0714285714285714
1657,70,7,25,0,0.125
1658,70,7,25,1,0.0654761904761905
1659,70,7,25,2,0.0654761904761905
1660,70,7,25,3,0.0178571428571429
1661,70,7,25,4,0.130952380952381
1662,70,7,25,5,0.0773809523809524
1663,70,7,25,6,0.202380952380952
1664,70,7,25,7,0.273809523809524
1665,70,7,25,8,0.255952380952381
1666,70,7,25,9,0.238095238095238
1667,70,7,25,10,0.18452380952381
1668,70,7,25,11,0.119047619047619
1669,70,7,25,12,0.107142857142857
1670,70,7,25,13,0.0178571428571429
1671,70,7,25,14,0.0297619047619048
1672,70,7,25,15,0.0595238095238095
1674,70,7,25,17,0.00595238095238095
