"datetime_id","date_id","date","hour","volume_of_ISSR","num_of_ISSR","floor","ceiling","south_id","north_id","south","north","west_id","east_id","west","east"
2626,110,20200903,9,0.135778635778636,844,35000,17500,1,112,19.359249926279,57.4934582716679,1,150,-138.583658711549,-58.1763087493052
2627,110,20200903,10,0.145913770913771,907,35000,17500,1,112,17.3768282182501,55.5673364743288,4,150,-137.086776643715,-57.883851423368
2628,110,20200903,11,0.134330759330759,835,35000,12500,1,111,18.4920736296775,55.0222380874334,9,150,-134.721133225145,-58.0306440629986
2629,110,20200903,12,0.126287001287001,785,40000,17500,3,112,19.0695037484101,57.528144737646,14,150,-132.165513053979,-57.883851423368
2630,110,20200903,13,0.114864864864865,714,35000,17500,1,112,18.4726265282534,54.8977121976927,1,147,-139.599386073434,-69.006564015237
2631,110,20200903,14,0.102960102960103,640,32500,17500,1,112,16.4711240955926,56.4715911239236,1,145,-139.599386073434,-69.1387663324599
2632,110,20200903,15,0.112451737451737,699,32500,17500,1,112,16.3894956093787,56.7788095775773,1,144,-139.599386073434,-69.431592469815
2633,110,20200903,16,0.087033462033462,541,32500,17500,1,112,18.3944999017034,56.7198587706355,1,146,-139.599386073434,-66.5969562781226
2634,110,20200903,17,0.0942728442728443,586,32500,17500,1,112,18.2294228147771,56.10026623903,5,150,-137.560966565208,-65.052463986101
2635,110,20200903,18,0.093951093951094,584,32500,17500,1,112,18.2294228147771,55.8401182936162,12,150,-133.945773906909,-65.052463986101
2636,110,20200903,19,0.103764478764479,645,37500,17500,1,112,18.2294228147771,57.2532530539324,12,150,-133.489543352035,-65.1489362131447
2637,110,20200903,20,0.117438867438867,730,32500,17500,1,112,18.2854424140673,56.5702823535438,18,150,-130.239007238811,-65.1489362131447
2638,110,20200903,21,0.206081081081081,1281,32500,17500,1,112,16.7882357661995,57.04432613748,6,150,-134.004226747888,-63.4211015191215
2639,110,20200903,22,0.231499356499356,1439,40000,17500,1,112,16.7882357661995,57.5714454528743,5,150,-137.067726148642,-63.2253156460428
2640,110,20200903,23,0.217985842985843,1355,32500,17500,1,112,16.7103731422152,57.6085674369185,2,150,-138.250443961117,-63.2253156460428
2641,111,20200904,0,0.159266409266409,990,32500,17500,1,112,16.8651508146089,57.6790680911292,7,150,-136.211056971453,-61.6055737718907
